state_fips,n_records,weighted_pop,mean_pretax_income,median_pretax_income,mean_posttax_income,median_posttax_income,mean_market_income,median_market_income,mean_means_tested,median_means_tested,mean_social_insurance,median_social_insurance,mean_capital_income,median_capital_income,mean_federal_taxes,median_federal_taxes,mean_tax_credits,median_tax_credits,gini,pct_receiving_SSI_VAL,pct_receiving_PAW_VAL,bottom_50_mean_income
1,2164,4077342.34,47112.68468637098,30000.0,38964.62821662652,27258.0,41473.68778031525,24000.0,480.7937869499573,0.0,5638.996906055722,0.0,4201.082622135183,0.0,7333.820197010977,1995.5,552.5495948839067,0.0,0.5835914505820806,2.8864797259089117,0.3289274944718034,10782.269539113719
2,1317,576799.0,60274.50887676643,40500.0,50428.058906482154,35803.0,55444.827238344726,36000.0,654.7060909432923,0.0,4829.681638421704,0.0,4774.106924734613,21.0,10501.156061227568,3825.0,599.4300159327599,0.0,0.5721860063357134,2.342944422580483,1.6451016731998496,13067.525759937884
4,1982,5951748.76,54324.8195369826,34001.0,45148.43879860447,30546.0,48867.93521470822,28034.5,495.26738012207363,0.0,5456.884322274383,0.0,5669.497015132743,1.0,8844.310615191358,2972.5,515.560251362156,0.0,0.574384100551319,0.9881262192256921,0.49048374145416723,12755.570819768875
5,1995,2439295.24,45068.08834688251,31000.0,38181.441594236865,28012.0,39574.967427493524,24587.0,794.4653584860846,0.0,5493.1209193889945,0.0,3485.033648214719,1.0,6456.6054423121,2242.0,587.6793343925026,0.0,0.5452974702092472,2.525369171794063,0.29361718428147304,11541.196192788997
6,11731,31817098.02,60762.70809179473,32000.0,47639.87718809655,29409.0,56583.034040928855,28000.0,777.2931330206211,0.0,4179.674050865875,0.0,6445.2153339130955,1.0,11234.817156349509,2667.0,507.63723404495454,0.0,0.6344666107113979,2.3942726942637744,1.1983911913032477,10316.432341038339
8,1520,4914484.75,65011.89102999659,42651.0,53069.31752730131,37452.0,59572.99975381142,38000.0,778.3968096981072,0.0,5438.891276185159,0.0,6959.609328524216,10.0,11375.709233428794,4236.5,463.3610392849423,0.0,0.5567452872931589,1.8051273839032669,0.43449783825252486,16449.07787508877
9,1238,3041269.0,70982.75256856924,43031.5,55121.09323172004,35983.5,65585.05651422811,36001.0,969.2148043530512,0.0,5397.6960543411315,0.0,9825.438856921239,22.5,13508.438713500846,4013.0,422.31204252566937,0.0,0.6081161573558411,2.872096812218847,0.4418819907084839,14578.963635418537
10,1362,861744.31,55228.44645313643,36792.5,44583.84447505084,32378.5,48829.553526602336,30000.0,409.98727869755237,0.0,6398.892926534089,0.0,4251.197546822212,4.0,8786.418501457816,3060.0,595.2567158348861,0.0,0.5427205811217297,1.0165184612591176,0.6142645722836277,15255.434582859747
11,1652,568467.1799999999,97137.87264233972,65377.5,71044.03501229396,50474.5,93768.13476477217,62130.0,1617.8452097269715,0.0,3369.737877567532,0.0,9353.99932416503,243.5,21512.77777659917,8926.0,276.1613893523282,0.0,0.5664498555838933,2.696282307801833,0.5700381858456631,21978.150876822616
12,5793,19078460.13,51047.48785769431,32000.0,43316.389087243915,29232.0,44994.287914928806,26000.0,493.4022043507555,0.0,6053.199942765507,0.0,4476.847441039257,0.0,8224.500974801158,2295.0,476.7943744713532,0.0,0.5827797068829659,2.005359800492452,0.2698974112645013,11691.465504146872
13,2527,8999675.329999998,51419.01038171785,32002.0,41995.04278498234,28896.0,46517.5152233964,30000.0,594.09794119873,0.0,4901.4951583214515,0.0,4414.928265112205,0.0,8114.074840270935,2678.0,587.9674080742645,0.0,0.5915056145207286,2.6647912419747266,0.33367837059517574,10683.606913795
15,2108,1172028.6400000001,54881.980606497804,39329.0,43994.127781911535,32497.0,49059.273616999664,30000.0,600.420710256705,0.0,5822.70698949814,0.0,5756.73076130631,5.0,8815.950753242685,3060.0,608.287714504997,0.0,0.5712693286221132,2.1539576029473135,1.0065513416122662,13273.464072677782
16,2045,1576951.52,47333.69017324007,32000.0,39659.930053588454,28321.0,42256.00435291124,27000.0,611.56868902349,0.0,5077.685820328832,0.0,3763.33610744102,3.0,6865.1722972942125,2505.0,723.4364380459838,0.0,0.5514639446850393,1.5519640071116454,0.3620954688575334,12018.040455794562
17,3116,10403399.469999999,59413.49174773061,38001.5,47276.66488726498,32773.5,54723.185801303276,33682.0,754.3131543895239,0.0,4690.3059464273365,0.0,5261.287207943771,5.0,10377.596668583948,3488.0,552.699167290555,0.0,0.5658530674901152,1.632465719400084,0.8387041202408044,14672.376166648395
18,1793,5535549.67,52738.14454382269,37006.0,43060.27818850193,32129.0,47267.725518967294,30001.0,715.5865827087772,0.0,5470.419024855395,0.0,4753.612206912056,5.0,8208.423019177786,3031.0,655.2852203546391,0.0,0.5431830484754758,1.860467273162414,0.48141271578545886,14077.250635385002
19,1238,2605349.6,52426.75819282372,40000.0,43325.15868138003,34263.0,47407.13878677165,35000.0,598.6176472209333,0.0,5019.61940605207,0.0,4880.118537742498,15.0,8039.024760696222,3880.0,592.9641775637326,0.0,0.5058642112833706,1.1860097393455373,0.3497822326800212,16198.374714255813
20,1361,2321403.69,59420.16875580569,38975.0,47873.24645516093,33734.0,53953.258376827165,33062.0,822.5728647480526,0.0,5466.910378978505,0.0,6311.948879003463,12.0,10129.99966509918,3366.0,600.4425252464383,0.0,0.562819232584892,2.602586541076791,0.7285983938450619,15792.12353102756
21,1173,3617874.38,49001.11237341524,28527.0,40756.37886335622,25947.0,43548.67319559891,22070.0,897.8202701996523,0.0,5452.43917781634,0.0,4924.42839821597,1.0,7442.6085134995765,1646.0,540.7042815400351,0.0,0.6088164843629444,4.029060566774018,0.8796433114407913,10503.850476845948
22,2532,3609381.88,39839.99422372288,25001.0,34364.73931578833,24201.5,34992.306258064884,18000.0,900.1978590915959,0.0,4847.687965657987,0.0,2554.9528303416873,0.0,5674.855885373924,1060.5,578.6276061318289,0.0,0.5870725261716079,4.056287887165876,0.3868224661226482,7734.176949675501
23,764,1199784.9900000002,54401.9578667841,37196.5,44334.68537173481,33242.5,47732.41692591936,28015.0,891.5317212211496,0.0,6669.540940864746,0.0,4049.3512993357244,20.0,8844.105635093832,2749.5,441.9743152812738,0.0,0.5438520223527062,4.089301867328745,0.5515996662035252,14856.115753897018
24,1420,5104110.04,63664.310097656125,42410.0,49063.04234052524,35180.5,58414.94976056394,38880.5,644.2322571869944,0.0,5249.360337092184,0.0,5503.085048082153,10.0,11318.08833061914,4406.0,505.75678836657687,0.0,0.5541457640801088,1.799691215121216,0.37769365959829504,15584.117130780494
25,2547,5851416.6,68870.26188787857,45020.0,53771.282612321615,38020.0,64220.77162891461,40000.0,935.9111360298633,0.0,4649.490258963958,0.0,5912.895104325678,17.0,13156.417073067401,4743.0,457.43262963194246,0.0,0.5681791587252442,2.096055679918603,0.8506868234266554,16013.93155159818
26,2450,8207878.720000001,56901.60523669993,37181.0,46277.14998828833,32621.0,50875.79350433433,30000.0,642.5360951970791,0.0,6025.811732365606,0.0,5940.083652317904,10.0,9500.227849318173,3060.0,553.4072275388105,0.0,0.5744678035057342,2.4954104097678482,0.657267143440443,13717.317327888844
27,1477,4725986.86,57941.81648305725,43100.0,46554.2926282131,37028.0,53147.24045176884,39564.0,531.4213202277081,0.0,4794.576031288415,0.0,5476.163114105653,41.0,9440.804923706452,4049.0,597.858154772779,0.0,0.5117999324825624,1.0825887061395678,0.9379111985089182,17510.028244165984
28,1970,2372693.98,36918.75086671733,24853.5,31706.489757119878,23630.5,31538.080730086396,13383.5,688.5101450546101,0.0,5380.670136630936,0.0,1978.955722515889,0.0,4962.20113708469,413.0,552.9406213227717,0.0,0.5719570420252538,3.7217530260687055,0.3190879255318041,8293.994635790676
29,1534,4957972.7700000005,55480.84268483588,36400.0,45509.94358301407,32673.5,50268.273475775866,31200.0,708.9244027292227,0.0,5212.569209060017,0.0,7010.980814483173,5.0,8935.374533670543,3115.0,639.0832400759635,0.0,0.5509743925374823,1.5078235292526625,0.14054998531183943,15095.72661510929
30,1898,945258.25,55068.2259957107,39149.5,44600.911950559544,34041.5,49363.881232065425,30456.0,640.141192726961,0.0,5704.344763645279,0.0,5153.641076859154,20.0,8701.478684042166,3239.0,537.6884537215094,0.0,0.5301435729357576,1.3129057588230515,0.37664945003124806,16086.443102616739
31,1278,1569684.7000000002,58994.890974486785,40060.0,47695.20384714203,36221.5,54012.94751900811,35001.0,765.878387404808,0.0,4981.943455478669,0.0,7416.690508068275,26.5,9757.596377374384,3425.0,670.2591421003211,0.0,0.5633287605589189,2.1741047740351926,0.6309107809995218,15103.12115481581
32,1774,2676452.93,53767.9800565482,34001.0,45666.04669599402,30793.5,48569.945534689454,27900.0,602.8968533364044,0.0,5198.03452185875,0.0,4441.6326049530035,0.0,8704.830213890591,2885.5,530.4164411626698,0.0,0.586907742968903,1.0933519387542525,0.67876329138357,11605.969872629685
33,1286,1158134.4500000002,65352.40259861019,46078.0,54125.78266086462,40765.0,58964.17073075582,40000.0,463.8255227620592,0.0,6388.231867854374,0.0,5522.315896966884,26.0,11566.843328302682,4590.0,402.2359987737175,0.0,0.5239789817565735,0.6531305583734255,0.5362650251877059,19666.68356495008
34,2296,7622793.33,66101.9547646886,38867.5,52593.627185597594,33306.0,61523.78881618977,33000.5,662.4696082702271,0.0,4578.1659484988295,0.0,7299.798670238906,2.0,11830.316471291502,3795.0,521.3393901747039,0.0,0.5887138746704642,2.349376432589181,0.6484508743725836,13704.477650206638
35,2034,1725032.76,42978.19664505386,27000.0,36747.873625901455,26012.0,37207.26307055177,19235.0,621.238165511709,0.0,5770.933574502086,0.0,3622.833407343522,0.0,6247.387700868938,1243.5,595.2810940471647,0.0,0.58210269923333,2.852541188840959,0.716620013639625,8657.219480924376
36,4325,16069945.690000001,58090.896237249195,35001.0,45781.465330541505,30827.0,53177.307541453796,29685.0,888.7297615453235,0.0,4913.588695795399,0.0,4057.717836985422,1.0,10393.529647266034,2851.0,520.5906010439043,0.0,0.596923205688385,2.8380158763311907,1.2185451262716742,12247.337281600288
37,2877,8904012.98,52561.98165040073,30097.0,42715.67743042643,27706.0,47110.29348535384,25002.0,528.1658590776223,0.0,5451.688165046902,0.0,4219.238008004341,1.0,8629.329089958266,2295.0,584.9075960578843,0.0,0.5923195274231552,2.1975241999254136,0.2137852903264748,11779.689134214936
38,1414,627142.45,55992.08974082364,43206.0,47150.76599002348,37689.0,51399.71672075459,39001.0,574.6605425928352,0.0,4592.373020069045,0.0,5363.258800978949,50.0,9105.601510581846,4100.5,652.4475006595392,0.0,0.5197898357417776,1.6505117776670994,0.6062992546589694,17067.557785806737
39,2735,9504513.25,54504.51051433065,35770.0,45121.772198376384,32329.0,49104.838455317,29239.0,744.3531677563814,0.0,5399.672059013648,0.0,4914.207398380975,10.0,9092.266043742955,2754.0,511.2123460599101,0.0,0.5727109544998874,2.685815183644465,0.5426092703905694,12994.33391886326
40,1675,3164331.1799999997,47654.36230134419,32508.0,39451.28503328783,29552.0,42544.4844578942,28100.0,549.5604394859834,0.0,5109.877843450003,0.0,3651.4054477508894,1.0,7239.868080157779,2678.0,615.1332685727289,0.0,0.5591302235530893,1.9375329733975575,0.6389324899930356,11849.30182170599
41,1767,3563683.8600000003,56193.71790344501,39003.0,45730.56535998678,32740.0,50657.62569817851,30354.0,630.1229513804291,0.0,5536.092205266489,0.0,4656.350919550983,5.0,9221.905465733427,3528.0,496.95367933955845,0.0,0.5526187117672675,2.528656961170512,0.7485529314039656,14588.793346361866
42,3037,10495239.760000002,55102.9763642398,34000.0,44965.878973409934,30477.0,49875.37545939588,29163.0,684.906994610669,0.0,5227.60090484393,0.0,5425.107413792898,6.0,9405.062657472818,2985.0,498.3714880935697,0.0,0.5746660770097607,2.5753617466667573,0.7748201266437766,13160.810193209642
44,933,896097.34,59417.18067624216,39520.0,47946.437824131914,34062.0,54397.397409549274,35000.0,1053.976737069658,0.0,5019.78326669288,0.0,5592.791719267909,5.0,10556.188271722802,3544.0,492.6001991033698,0.0,0.5607336074374258,3.350329105987526,1.0385969899207603,14481.266854941656
45,1999,4449487.2,51235.07013089509,30020.0,41719.93670455328,28260.0,45362.58126316893,25000.0,716.6888726570559,0.0,5872.488867726151,0.0,4091.6246946884125,1.0,8413.280547021237,2295.0,606.0123541135257,0.0,0.5915232257348038,2.512139825910725,0.3050126765169703,11689.552796756876
46,1178,708047.67,58143.24237204255,44000.0,49003.86863340712,37665.5,53363.89390790595,40065.0,366.0344530051204,0.0,4779.348464136602,0.0,6557.005317523324,30.0,9505.408191640543,4437.0,571.6214302915507,0.0,0.514882560038322,0.9626767079114886,0.4981458381184984,18776.832922237554
47,2083,5819384.39,49986.96375662169,33200.0,42784.34234961406,30473.0,45004.25303045157,29052.0,524.0855377556526,0.0,4982.710726170128,0.0,3879.090426006384,1.0,7726.7069447632775,2714.0,607.9050212543186,0.0,0.5577116695759898,1.8473892218692227,0.340712499316444,12360.807790502266
48,7724,24083545.18,53513.25854088813,30001.0,45196.955360165135,28104.0,49252.445459071736,26000.0,650.2871361217094,0.0,4260.813081816387,0.0,4478.404732495451,0.0,8966.590316844706,2295.0,672.7667819572234,0.0,0.6080183465556648,1.6618610217418166,0.22651166841210044,10486.181066583385
49,1839,2649167.59,59235.021199708244,36089.0,47882.46795612127,32020.0,55477.82759715855,31004.0,957.1553924264944,0.0,3757.1936025496975,0.0,6866.444810665979,6.0,10222.120505781215,3825.0,654.5229105947201,0.0,0.5879797585560924,0.6265428454830221,0.4372860382154985,13060.789903934747
50,1399,541830.36,63963.084668326825,44140.0,51298.77471969271,37562.0,57993.057160473625,39000.0,710.253680155538,0.0,5970.027507853196,0.0,6493.334277392651,60.0,10926.73399159471,4498.0,482.79419543784894,0.0,0.5146460595411954,1.4352905584692597,0.8368578682080496,20073.1377863386
51,2132,7131958.9,64030.74266484906,38691.0,50744.31892663038,33946.0,58357.96786865106,35007.5,676.1705040041663,0.0,5672.7747961979985,0.0,5647.811491380019,10.0,11362.338501614191,3521.0,542.7451777968042,0.0,0.5774062715646375,1.2743428737369757,0.16761075277649173,14520.796063453485
53,2159,6581082.82,67326.50388692722,40000.0,55925.55924685354,35874.0,62009.76814765567,33014.0,652.3448486506055,0.0,5316.735739271549,0.0,7897.612716717033,16.0,12053.28948872429,3672.0,559.5626863604795,0.0,0.5930194132944857,1.9080888880228373,0.6642858203689951,14287.3498157669
54,2106,1463271.3900000001,43015.581940756725,30000.0,36063.44071702242,26238.0,36673.01287675692,19000.0,707.9300310996991,0.0,6342.569063999808,0.0,3547.7560070452814,0.0,6230.142902766655,1148.0,498.6740256569904,0.0,0.5715352744277372,3.2028713415902974,0.7296630053021127,10079.054071363233
55,1574,4742697.16,59510.08334338808,42016.5,47964.853153771684,36435.5,53993.836400916225,36800.5,458.4516801595655,0.0,5516.246942471865,0.0,6888.045170653485,75.0,9756.728753307116,3864.5,617.5475779651088,0.0,0.5405047849069478,0.8789650402219651,0.5319852638450986,17068.439550363564
56,1505,467134.33,50676.14163784538,35062.0,43789.84303380144,32416.0,44931.14817448762,29410.0,500.2146870044854,0.0,5744.993463357745,0.0,4659.094902252205,10.0,7386.513291048423,2871.0,685.6169106004262,0.0,0.5383044950183908,2.0017753779731837,0.4555327800463733,13290.898563140385
